fig_name,T,r,g,target_freq,target_strategy,opponent_strategy,wg,r_over_g,target_win_rate,opponent_win_rate,tie_rate,other_rate,finished_trials,expected_trials,is_complete,converged_rate,avg_generation
fig7,1000,0,5,0.3,LIKE_TFT,LIAR,6.410256410256411,0.0,1.0,0.0,0.0,0.0,100,100,True,0.71,308.7
fig7,1000,0,5,0.4,LIKE_TFT,LIAR,6.410256410256411,0.0,1.0,0.0,0.0,0.0,100,100,True,0.75,277.74
fig7,1000,0,5,0.5,LIKE_TFT,LIAR,6.410256410256411,0.0,1.0,0.0,0.0,0.0,100,100,True,0.77,286.26
fig7,1000,0,5,0.6,LIKE_TFT,LIAR,6.410256410256411,0.0,1.0,0.0,0.0,0.0,100,100,True,0.72,291.04
fig7,1000,0,5,0.7,LIKE_TFT,LIAR,6.410256410256411,0.0,1.0,0.0,0.0,0.0,100,100,True,0.79,249.07
fig7,1000,0,5,0.8,LIKE_TFT,LIAR,6.410256410256411,0.0,1.0,0.0,0.0,0.0,100,100,True,0.72,277.08
fig7,1000,0,5,0.9,LIKE_TFT,LIAR,6.410256410256411,0.0,1.0,0.0,0.0,0.0,100,100,True,0.72,287.46
fig7,1200,0,5,0.1,LIKE_TFT,LIAR,7.6923076923076925,0.0,0.0,1.0,0.0,0.0,100,100,True,0.0,500.0
fig7,1200,0,5,0.2,LIKE_TFT,LIAR,7.6923076923076925,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,46.59
fig7,1200,0,5,0.3,LIKE_TFT,LIAR,7.6923076923076925,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,41.28
fig7,1200,0,5,0.4,LIKE_TFT,LIAR,7.6923076923076925,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,39.0
fig7,1200,0,5,0.5,LIKE_TFT,LIAR,7.6923076923076925,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,43.03
fig7,1200,0,5,0.6,LIKE_TFT,LIAR,7.6923076923076925,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,41.43
fig7,1200,0,5,0.7,LIKE_TFT,LIAR,7.6923076923076925,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,40.2
fig7,1200,0,5,0.8,LIKE_TFT,LIAR,7.6923076923076925,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,39.9
fig7,1200,0,5,0.9,LIKE_TFT,LIAR,7.6923076923076925,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,43.78
fig7,1400,0,5,0.1,LIKE_TFT,LIAR,8.974358974358974,0.0,0.0,1.0,0.0,0.0,100,100,True,0.0,500.0
fig7,1400,0,5,0.2,LIKE_TFT,LIAR,8.974358974358974,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,20.81
fig7,1400,0,5,0.3,LIKE_TFT,LIAR,8.974358974358974,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,18.96
fig7,1400,0,5,0.4,LIKE_TFT,LIAR,8.974358974358974,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,16.6
fig7,1400,0,5,0.5,LIKE_TFT,LIAR,8.974358974358974,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,14.4
fig7,1400,0,5,0.6,LIKE_TFT,LIAR,8.974358974358974,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,13.03
fig7,1400,0,5,0.7,LIKE_TFT,LIAR,8.974358974358974,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,12.94
fig7,1400,0,5,0.8,LIKE_TFT,LIAR,8.974358974358974,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,11.53
fig7,1400,0,5,0.9,LIKE_TFT,LIAR,8.974358974358974,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,10.87
fig7,1600,0,5,0.1,LIKE_TFT,LIAR,10.256410256410257,0.0,0.01,0.99,0.0,0.0,100,100,True,0.01,495.78
fig7,1600,0,5,0.2,LIKE_TFT,LIAR,10.256410256410257,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,16.43
fig7,1600,0,5,0.3,LIKE_TFT,LIAR,10.256410256410257,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,13.51
fig7,1600,0,5,0.4,LIKE_TFT,LIAR,10.256410256410257,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,11.5
fig7,1600,0,5,0.5,LIKE_TFT,LIAR,10.256410256410257,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,10.67
fig7,1600,0,5,0.6,LIKE_TFT,LIAR,10.256410256410257,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,9.27
fig7,1600,0,5,0.7,LIKE_TFT,LIAR,10.256410256410257,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,8.25
fig7,1600,0,5,0.8,LIKE_TFT,LIAR,10.256410256410257,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,8.06
fig7,1600,0,5,0.9,LIKE_TFT,LIAR,10.256410256410257,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,5.62
fig7,1800,0,5,0.1,LIKE_TFT,LIAR,11.538461538461538,0.0,0.03,0.97,0.0,0.0,100,100,True,0.03,494.85
fig7,1800,0,5,0.2,LIKE_TFT,LIAR,11.538461538461538,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,14.57
fig7,1800,0,5,0.3,LIKE_TFT,LIAR,11.538461538461538,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,11.55
fig7,1800,0,5,0.4,LIKE_TFT,LIAR,11.538461538461538,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,9.95
fig7,1800,0,5,0.5,LIKE_TFT,LIAR,11.538461538461538,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,8.8
fig7,1800,0,5,0.6,LIKE_TFT,LIAR,11.538461538461538,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,7.82
fig7,1800,0,5,0.7,LIKE_TFT,LIAR,11.538461538461538,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,7.14
fig7,1800,0,5,0.8,LIKE_TFT,LIAR,11.538461538461538,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,5.99
fig7,1800,0,5,0.9,LIKE_TFT,LIAR,11.538461538461538,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,4.1
fig7,2000,0,5,0.1,LIKE_TFT,LIAR,12.820512820512821,0.0,0.01,0.99,0.0,0.0,100,100,True,0.01,499.0
fig7,2000,0,5,0.2,LIKE_TFT,LIAR,12.820512820512821,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,13.75
fig7,2000,0,5,0.3,LIKE_TFT,LIAR,12.820512820512821,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,10.5
fig7,2000,0,5,0.4,LIKE_TFT,LIAR,12.820512820512821,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,9.3
fig7,2000,0,5,0.5,LIKE_TFT,LIAR,12.820512820512821,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,7.79
fig7,2000,0,5,0.6,LIKE_TFT,LIAR,12.820512820512821,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,6.79
fig7,2000,0,5,0.7,LIKE_TFT,LIAR,12.820512820512821,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,6.39
fig7,2000,0,5,0.8,LIKE_TFT,LIAR,12.820512820512821,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,5.53
fig7,2000,0,5,0.9,LIKE_TFT,LIAR,12.820512820512821,0.0,1.0,0.0,0.0,0.0,100,100,True,1.0,3.5
